SKU,ITEM ID,PRIMARY IMAGE URL
B00ZS0HX2K,224008482,https://i5.walmartimages.com/asr/38a3639e-8ccf-445e-9c1f-5b4825c13df8_1.34c61e651fbb7a3af50e9b6fcec97dcd.jpeg
B00DF4WO8Y,157671429,https://i5.walmartimages.com/asr/36eadb1f-ef3a-481b-a935-340a62ef7405_1.468196853089aa29d104234696d82bcc.jpeg
