ASIN,Title,Product_ID_Type,Product_ID,Brand,lowest_new_price_fba,Description,large_image,additional_image_2,store
B07SRMXRZB,Jaipur,EAN,3558380063933,Space Cowboys,22.49,"The multi award-winning game Jaipur, by sebastien pauchon, returns with all new artwork by Vincent Dutrait and the same great game play. Players take on the roles of two of the city's most powerful traders seeking to earn their invite to the maharaja?s court. Blending strategy and luck, Jaipur is a fast-paced card game that is easy to learn while offering plenty of depth to dedicated players. The new Edition of Jaipur is the first game to kick off space cowboy new 2-player collection. The first print run of Jaipur features an exclusive metallic collectible coin to determine the first player!",https://m.media-amazon.com/images/I/51MuQEnWkHL.jpg,https://images-na.ssl-images-amazon.com/images/I/41brBBXWf4L.jpg,Digi Commerce
B007HIGI4A,"100% Speedlab (51002-003-02) RACECRAFT/ACCURI/STRATA Replacement Lens Smoke Anti-Fog (Mirror Red, Free Size)",UPC,817779010495,100%,24,Anti-fog treatment. All lenses complete with tear-off posts. Each tint has specific uses and benefits: Clear: All purpose lens provides maximum amount of light allowance for all conditions. Blue: Increased contrast for varying conditions. Ideal for medi,https://m.media-amazon.com/images/I/31cS5AYhuJL.jpg,,Digi Commerce
